CUSTOMRECORD_4572	4572 Custom Record
CUSTOMRECORD_TRANSLATION_TEXT	Mobile - Translation Text
CUSTOMRECORD_MOBILE_CONFIG_COL_MERGE_CRI	Mobile Configuration - Merge
CUSTOMRECORD_MOBILE_CUSTOM_COL_MERGE_CRI	Mobile Customization - Merge
CUSTOMRECORD_WD_NAW_WORKFLOW_EXCEP	NAW workflow exceptions
CUSTOMRECORD_NO_2DIGIT_MAPPING	NO-SAFT 2Digit Mapping
CUSTOMRECORD_NO_4DIGIT_MAPPING	NO-SAFT 4Digit Mapping
CUSTOMRECORD_2DIGIT_ACCOUNT_VALUES	NO-SAFT: 2 Digit Standard Accounts
CUSTOMRECORD_4DIGIT_ACCOUNT_VALUES	NO-SAFT: 4 Digit Standard Accounts
CUSTOMRECORD_NO_SUB_TAX_CODES	NO-SAFT: Alternative Tax Codes
CUSTOMRECORD_NO_INCOME_MAPPER_KEYVALUE	NO-SAFT: Income Statement Mapping
CUSTOMRECORD_NO_IN_MAPPER_1167_KEYVALUE	NO-SAFT: Income Statement Mapping 1167
CUSTOMRECORD_NO_IN_MAPPER_1175_KEYVALUE	NO-SAFT: Income Statement Mapping 1175
CUSTOMRECORD_NO_IN_MAPPER_1323_KEYVALUE	NO-SAFT: Income Statement Mapping 1323
CUSTOMRECORD_INCOME_STATEMENT_1167	NO-SAFT: Income Statement RF-1167
CUSTOMRECORD_INCOME_STATEMENT_1175	NO-SAFT: Income Statement RF-1175
CUSTOMRECORD_INCOME_STATEMENT_1323	NO-SAFT: Income Statement RF-1323
CUSTOMRECORD_NO_STANDARD_TAX_CODES	NO-SAFT: Standard Tax Codes
CUSTOMRECORD_NO_STD_TAX_KEYVALUE	NO-SAFT: Standard Tax Codes Mapping
CUSTOMRECORD_NSAPM_PTS_SETUPSUMMARY	NSAPM PTS Set Up Summary
CUSTOMRECORD_NSAPM_RPM_SETUP_DATE_RANGE	NSAPM RPM SetUp Date Range
CUSTOMRECORD_NSAPM_RPM_SETUP_RECORDPAGES	NSAPM RPM SetUp Record Pages
CUSTOMRECORD_NSAPM_RPM_SETUP_GENERAL	NSAPM RPM Setup General
CUSTOMRECORD_NSAPM_SETUP_EMPLOYEE_ACCESS	NSAPM Setup Employees Access
CUSTOMRECORD_NSAPM_SETUP_PARENT	NSAPM Setup Parent
CUSTOMRECORD_NSAPM_SETUP_ROLES_ACCESS	NSAPM Setup Roles Access
CUSTOMRECORD_TRANSACTION_NATURE	Nature of Transaction
CUSTOMRECORD_NOTC	Nature of Transaction Codes
CUSTOMRECORD_NOTC_DEFAULT	Nature of Transaction Default
CUSTOMRECORD_NAV_CATEGORY	Navigation Category
CUSTOMRECORD_NAV_SHORTCUT	Navigation Shortcut
CUSTOMRECORD_NAV_SHORTCUTGROUP	Navigation Shortcut Group
CUSTOMRECORD_NAV_SHORTCUT_TOOLTIP	Navigation Shortcut Tooltip
CUSTOMRECORD_DA_AR_AGING_PMT_APP	NetLoan AR Aging Payment Application
CUSTOMRECORD_DA_BUSINESS_DAY_CALENDAR	NetLoan Business Day Calendar
CUSTOMRECORD_DA_CREDIT_APPLICATION	NetLoan Credit Application
CUSTOMRECORD_DA_CUSTOM_CALENDAR	NetLoan Custom Calendar
CUSTOMRECORD_DA_CUSTOM_CALENDAR_PERIOD	NetLoan Custom Calendar Period
CUSTOMRECORD_DA_CUSTOM_FILTER	NetLoan Custom Filter
CUSTOMRECORD_DA_CUSTOM_SOURCING	NetLoan Custom Sourcing
CUSTOMRECORD_DA_FINANCING_OPTION	NetLoan Financing Option
CUSTOMRECORD_DA_GLOBAL_SETTINGS	NetLoan Global Settings
CUSTOMRECORD_DA_HOLIDAY	NetLoan Holiday
CUSTOMRECORD_DA_INVESTOR_OWNERSHIP	NetLoan Investor Ownership
CUSTOMRECORD_DA_LOAN	NetLoan Loan
CUSTOMRECORD_DA_LOAN_MODIFICATION	NetLoan Modification Proposal
CUSTOMRECORD_DA_LOAN_MODIFICATION_REASON	NetLoan Modification Reason
CUSTOMRECORD_DA_LOAN_PAYMENT	NetLoan Payment
CUSTOMRECORD_DA_LOAN_PAYMENT_REQUEST	NetLoan Payment Request
CUSTOMRECORD_DA_LOAN_PAYMENT_REQUEST_APP	NetLoan Payment Request Application
CUSTOMRECORD_DA_PAYMENT_STATUS	NetLoan Payment Status
CUSTOMRECORD_DA_PAYMENT_TYPE	NetLoan Payment Type
CUSTOMRECORD_DA_LOAN_RATE	NetLoan Rate
CUSTOMRECORD_DA_RATE_INDEX	NetLoan Rate Index
CUSTOMRECORD_DA_RECLASS_JE_TYPE	NetLoan Reclass Journal Type
CUSTOMRECORD_DA_REPORT	NetLoan Report
CUSTOMRECORD_DA_REPORT_COLUMN	NetLoan Report Column
CUSTOMRECORD_DA_LSE_SCHEDULE_LINE	NetLoan Schedule Line
CUSTOMRECORD_DA_CACHE	NetLoan Selection Cache
CUSTOMRECORD_DA_LOAN_STATEMENT	NetLoan Statement
CUSTOMRECORD_DA_STMT_TEMPLATE	NetLoan Statement Template
CUSTOMRECORD_DA_SYSTEM_JOB	NetLoan System Job
CUSTOMRECORD_DA_SYSTEM_JOB_BATCH	NetLoan System Job Batch
CUSTOMRECORD_DA_TRANSACTION_PROCESSING	NetLoan Transaction Processing
CUSTOMRECORD_DA_LOAN_TYPE	NetLoan Type
CUSTOMRECORDPACKSHIP_NONDELIVERY_SHPMNT	Nondelivery Shipment
CUSTOMRECORD_CU_OKTA_INTEGRATE_TOKEN	Okta Integration Token
CUSTOMRECORD_ONLINE_FILING	Online Filing
CUSTOMRECORD_FILING_AUTHORIZATION	Online Filing Authorization
CUSTOMRECORD_FILING_CONFIG	Online Filing Configuration
